Chainage,Pipe_No.,Heat_No.,Coating _No.,Thk_mm,Stringing_Length_m,Actual_Length_m,Str_Rpt,Str_Date,Bend_Rpt,Bend_Date,Bend_Deg,Bend_Type,CC _Rpt,CC_Date,Weld_Line_No.,Weld_KM,Weld_Pre_Fix,Weld_Joint_No,weld_Rpt,weld _Date,WPS_no,RT_Rpt,RT_Date,Weld_Repair_Result,Weld_Repair_Rpt,Weld_repair_Date,UT_Rpt,UT_Date,JC_Rpt,JC_Date,Remarks
15676.245,L12305833,A162729,B1E00015,9.53,12.14,12.14,1,29.08.2023,,,,,,,A,KM15,M,56,1,30.08.2023,1,12,01.09.2023,ACC,,,,,2,20.09.2023,
15688.385,L12305840,A262738,B1E00013,9.53,12.14,12.14,1,29.08.2023,,,,,,,A,KM15,M,57,1,30.08.2023,1,12,01.09.2023,ACC,,,,,9,06.10.2023,
15700.525,L12307787,A161017,B1E02722,9.53,11.6,11.6,11,20.09.2023,,,,,,,A,KM15,M,58,12,21.09.2023,1,89,25.09.2023,ACC,,,,,9,06.10.2023,
15712.125,L12308310,A262731,B1E02586,9.53,12.13,12.13,11,20.09.2023,,,,,,,A,KM15,M,59,13,22.09.2023,1,"89
112","25.09.2023
01.10.2023","REP
ACC",3,28.09.2023,2,03.10.2023,9,06.10.2023,
15724.255,L12308084,A161013,B1E02033,9.53,11.7,11.7,11,20.09.2023,,,,,,,A,KM15,M,60,13,22.09.2023,1,89,25.09.2023,ACC,,,,,9,06.10.2023,
15735.955,L12308361,A162732,B1E02479,9.53,11.81,11.81,11,20.09.2023,,,,,,,A,KM15,M,61,14,23.09.2023,1,89,25.09.2023,ACC,,,,,9,06.10.2023,
15747.765,L12306559,A162732,B1E02596,9.53,12.14,12.14,11,20.09.2023,,,,,,,A,KM15,M,62,14,23.09.2023,1,89,25.09.2023,ACC,,,,,9,06.10.2023,
15759.905,L12308148,A161011,B1E01969,9.53,11.84,11.84,11,20.09.2023,,,,,,,A,KM15,M,63,14,23.09.2023,1,"90
112","25.09.2023
01.10.2023","REP
ACC",3,28.09.2023,2,03.10.2023,9,06.10.2023,
15771.745,L12308082,A161013,B1E02022,9.53,11.91,11.91,11,20.09.2023,,,,,,,A,KM15,M,64,14,23.09.2023,1,90,25.09.2023,ACC,,,,,9,06.10.2023,
15783.655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L12307910,A261018,B1E02089,9.53,11.5,11.5,21,12.10.2023,,,,,,,,,,,,,,,,,,,,,,,
,L12307961,A261018,B1E01680,9.53,11.94,11.94,21,12.10.2023,,,,,,,A,KM17,FT,18,9,13.10.2023,2,156,20.10.2023,ACC,,,,,,,MANALI ROAD HDD
,L12307986,A261014,B1E02127,9.53,11.79,11.79,21,12.10.2023,,,,,,,A,KM17,FT,19,9,13.10.2023,2,156,20.10.2023,ACC,,,,,,,MANALI ROAD HDD
,L12307962,A261018,B1E01678,9.53,11.93,11.93,21,12.10.2023,,,,,,,A,KM17,FT,20,9,13.10.2023,2,156,20.10.2023,ACC,,,,,,,MANALI ROAD HDD
,L12308032,A161009,B1E02097,9.53,11.84,11.84,21,12.10.2023,,,,,,,A,KM17,FT,21,10,17.10.2023,2,156,20.10.2023,ACC,,,,,,,MANALI ROAD HDD
,L12306745,A262731,B1E01704,9.53,12.14,12.14,21,12.10.2023,,,,,,,A,KM17,FT,22,10,17.10.2023,2,156,20.10.2023,ACC,,,,,,,MANALI ROAD HDD
,L12307977,A161009,B1E02087,9.53,11.84,11.84,21,12.10.2023,,,,,,,A,KM17,FT,23,10,17.10.2023,2,157,20.10.2023,ACC,,,,,,,MANALI ROAD HDD
,L12306868,A162729,B1E01624,9.53,12.14,12.14,21,12.10.2023,,,,,,,A,KM17,FT,24,10,17.10.2023,2,,,,,,,,,,MANALI ROAD HDD
,L12307811,A261012,B1E01682,9.53,11.65,11.65,21,12.10.2023,,,,,,,A,KM17,FT,25,10,17.10.2023,2,,,,,,,,,,MANALI ROAD HDD
,L12307897,A161017,B1E01742,9.53,11.87,11.87,21,12.10.2023,,,,,,,A,KM17,FT,26,10,17.10.2023,2,,,,,,,,,,MANALI ROAD HDD
,L12307949,A261012,B1E01677,9.53,11.87,11.87,22,14.10.2023,,,,,,,A,KM17,FT,27,11,18.10.2023,2,,,,,,,,,,MANALI ROAD HDD
,L12307945,A261012,B1E01681,9.53,11.87,11.87,22,14.10.2023,,,,,,,A,KM17,FT,28,11,18.10.2023,2,157,20.10.2023,ACC,,,,,,,MANALI ROAD HDD
,L12308136,A261020,B1E01918,9.53,12.06,12.06,,,,,,,,,A,KM17,FT,29,48,07.02.2024,2,,,,,,,,,,MANALI ROAD HDD
,L12307997,A161017,B1E02101,9.53,11.54,11.54,,,,,,,,,A,KM17,FT,30,48,07.02.2024,2,,,,,,,,,,MANALI ROAD HDD
,L12307802,A261018,B1E01703,9.53,11.9,11.9,,,,,,,,,A,KM17,FT,31,48,07.02.2024,2,,,,,,,,,,MANALI ROAD HDD
