Chainage,Pipe_No.,Heat_No.,Coating _No.,Thk_mm,Stringing_Length_m,Actual_Length_m,Str_Rpt,Str_Date,Bend_Rpt,Bend_Date,Bend_Deg,Bend_Type,CC _Rpt,CC_Date,Weld_Line_No.,Weld_KM,Weld_Pre_Fix,Weld_Joint_No,weld_Rpt,weld _Date,WPS_no,RT_Rpt,RT_Date,Weld_Repair_Result,Weld_Repair_Rpt,Weld_repair_Date,UT_Rpt,UT_Date,JC_Rpt,JC_Date,Remarks
10323.77,L12306908,A161013,B1E02212,9.53,11.65,11.65,23,18.10.2023,,,,,,,A,KM10,M,27,24,19.10.2023,1,158,22.10.2023,ACC,,,,,32,06.01.2024,
10335.42,L12308351,A161011,B1E02519,9.53,11.84,11.84,23,18.10.2023,,,,,,,A,KM10,M,28,24,19.10.2023,1,158,22.10.2023,ACC,,,,,32,06.01.2024,
10347.26,L12307600,A161004,B1E02198,9.53,11.85,11.85,23,18.10.2023,,,,,,,A,KM10,M,29,24,19.10.2023,1,158,22.10.2023,ACC,,,,,32,06.01.2024,
10359.11,L12308308,A262731,B1E02728,9.53,11.78,11.78,23,18.10.2023,,,,,,,A,KM10,M,30,24,19.10.2023,1,168,27.10.2023,ACC,,,,,32,06.01.2024,
10370.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10372,L12305644,A262723,B1E02415,9.53,10.37,10.37,23,18.10.2023,,,,,,,,,,,,,,,,,,,,,,,
10382.37,L12308332,A262733,B1E02556,9.53,12.06,12.06,23,18.10.2023,,,,,,,A,KM10,M,32,24,19.10.2023,1,168,27.10.2023,ACC,,,,,33,09.01.2024,
10394.43,L12307690,A261012,B1E02283,9.53,11.87,11.87,23,18.10.2023,,,,,,,A,KM10,M,33,24,19.10.2023,1,"168
239","27.10.2023
30.12.2023","RS
ACC",,,,,33,09.01.2024,
10406.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L12306012,A262726,B1E00247,9.53,11.76,11.76,27,14.11.2023,,,,,,,,,,,,,,,,,,,,,,,
,L12307798,A261020,B1E01844,9.53,11.95,11.95,20,08.10.2023,,,,,,,A,KM10,FT,35,14,15.11.2023,2,204,27.11.2023,ACC,,,,,,,CC-ROAD-HDD
,L12307589,A161004,B1E02189,9.53,11.85,11.85,20,08.10.2023,,,,,,,A,KM10,FT,36,8,11.10.2023,2,144,12.10.2023,ACC,,,,,,,CC-ROAD-HDD
,L12307839,A161017,B1E01855,9.53,11.78,11.78,20,08.10.2023,,,,,,,A,KM10,FT,37,8,11.10.2023,2,144,12.10.2023,ACC,,,,,,,CC-ROAD-HDD
,L12307576,A261012,B1E02186,9.53,11.87,11.87,20,08.10.2023,,,,,,,A,KM10,FT,38,8,11.10.2023,2,144,12.10.2023,ACC,,,,,,,CC-ROAD-HDD
,L12308153,A161017,B1E01895,9.53,11.88,11.88,20,08.10.2023,,,,,,,A,KM10,FT,39,7,10.10.2023,2,144,12.10.2023,ACC,,,,,,,CC-ROAD-HDD
